Inferno,0.0937625746860271,#f8faf5,#6e6a61,#c9beab,#79563f,#926e57,#4a2f1f,#a3a395,#560204,#49413b,#e9d8c5,#565450,#cda77e,#63412c,#c48130,#84877c,#a88970,#972415,#214751,#427c84
IT,0.09572188219340398,#85a6a0,#4e4f41,#6e6f62,#dcdcd6,#2a401b,#7d8179,#aca898,#4e5927,#8c7f5c,#355054,#6b723c,#552f24,#c0c4b7,#73503f,#516c74,#949083,#5a5f55,#213b3d,#3c4032
John Wick,0.06485811823943465,#76d8ba,#0c3133,#676a53,#c9eabe,#367373,#35483d,#685022,#9e8942,#135e66,#1ad8b9,#0d464d,#80948c,#bfc66e,#0a32a0,#f4f5ef,#06194a,#422b10,#4b9896,#abb5af,#12889b
Jojo Rabbit,0.09416022768899031,#877e60,#645439,#7d0104,#b8ab8e,#4a4230,#4b2b16,#6c832f,#67756d,#8a9083,#76684d,#9e724a,#c3ccb9,#9db0ac,#aa9271,#895926,#264243,#486416,#4e5b51,#683d1e,#550103
Jurassic World - Fallen Kingdom,0.09394232820213438,#788278,#bac1bb,#3d5453,#6a482a,#f1f2ed,#8d958b,#2f4645,#c98b45,#60716f,#a4aaa2,#d5d8d1,#213636,#4d2f1d,#6a694e,#4d5542,#4f615e,#f0cf7c,#995930,#3c4334
Jurassic World,0.09579172254965014,#28353a,#9c8e86,#61686a,#d8cbc6,#3e4546,#568193,#405a60,#c0b8b5,#38342b,#839aa5,#5c574f,#124a56,#146986,#7a7d7d,#f1e2db,#554a32,#a8a7a6,#856d56,#4d210b,#0c2735
Justice League - The Snyder Cut,0.11313130531227661,#9aa195,#3e535a,#7c6650,#efe8c8,#10303e,#729da0,#413224,#dcbd91,#9ab8b5,#306b78,#79817b,#c0cfc1,#a3602d,#54676b,#594b3b,#b98e62,#2e3e45,#54828a,#6f3616,#174b5d
King Kong,0.05796460621173312,#694f3c,#787f81,#3a3931,#a79c7e,#5b5c4f,#acb3af,#474f56,#716d5c,#bdcbd5,#eff4f1,#27313a,#4a483b,#5b6671,#8895a0,#e7db8f,#432c1f,#8a7f68,#364047
Kingsman - The Secret Service,0.073468448953706,#a68a63,#29475b,#c3cebf,#484642,#669bab,#5b5d5c,#ecedd9,#85694c,#39718d,#54341e,#8f928c,#757774,#074805,#142837,#cfb57f,#6e4d32,#33322e,#a4b2ab,#bd8129,#3a2111
Life,0.039668969562224154,#5e605a,#d3d7d4,#3e3e37,#3c321f,#93a7ab,#75746b,#1a3a49,#4b4e49,#a61518,#577989,#b5b9b7,#8c8e88,#2d5468,#605032,#edf1ed,#0d2634,#cf915e
Lights Out,0.09812356790046772,#645845,#bfbeb5,#878f81,#020196,#ece8e8,#020066,#2f516f,#402d18,#927a5f,#0b1ccd,#93b7da,#a5a59a,#b60424,#4f030b,#d1d0cb,#193149,#5a85b2,#42463c,#01023d,#66736a
Maleficent 2 - Mistress of Evil,0.0906042166050524,#8ea597,#b3cdbd,#444c3d,#68857a,#3d2a0b,#fefffd,#90805a,#0a7e27,#1ebd94,#094139,#bead7e,#51461a,#e66a0d,#9bac26,#1d6466,#596557,#697521,#2b3329,#7b5235,#d7e9d4
Man of Steel,0.12417988487783593,#9da7a9,#3d4c57,#f7f7f4,#887563,#346b79,#709aab,#c58e58,#5f3b23,#e1ddcf,#848c90,#3d3b39,#b6bfbf,#d9bf97,#677882,#1b3c4c,#625449,#af9b82,#945e32,#56626b
Marvel Studios' Avengers - Infinity War 1,0.12206265688536112,#8b827a,#dbd8d7,#463d39,#c69666,#716862,#ab080b,#f2f1f0,#745839,#482819,#9c7947,#447596,#d5a523,#a39e9a,#e1c298,#1a3b5b,#b9bdc2,#520203,#555051,#a35124,#693920
Marvel Studios' Avengers - Infinity War 2,0.11795412023011334,#806a51,#202536,#abaab2,#645140,#3b2d29,#61769f,#e9d7c8,#b6977b,#4a110b,#5e5b5f,#eff0ee,#2d4574,#9c8061,#543a2c,#7b7779,#8e929e,#d6b79b,#80cfec,#8a4f31,#c4c2c7
Me Before You,0.12342904771910916,#b6b8ae,#351b06,#514837,#868172,#8d5839,#f2e9d5,#5d3718,#ac8f78,#686e1a,#675b46,#3d3727,#dccab4,#c8a991,#4b270d,#8d9d9a,#9c122d,#283a42,#744425,#4f686c,#a47255
Mission Impossible - Fallout,0.14506365350907324,#ab8965,#344248,#a8ab97,#635b45,#c5d1d2,#81826f,#3a382f,#607685,#7e92a5,#4e493a,#dfd1b3,#867051,#4c595d,#9db0c4,#ecebdf,#6a6d5e,#4b2516,#969782,#bebfaa,#cba681
Murder on the Orient Express,0.11770554928103256,#aca9b1,#79655b,#928076,#2d3540,#d5d0cb,#4e6172,#4e281b,#6f4732,#9699a5,#59504e,#ae998b,#6b7580,#11375a,#483934,#818a95,#ac8438,#67d4ed,#c0bbbc,#394c5c
Noah,0.06371454473124798,#9c9e9c,#3e3831,#5d6c72,#b9b3ab,#0e2d3a,#856a53,#24414c,#3a535f,#514941,#e5d3c8,#563e2a,#7c8689,#be7f0e,#9f8368,#6b5645,#3e2919,#775515,#c3a381,#148289
Oblivion,0.1567443891655794,#97aab4,#556a74,#eeedea,#9e8f78,#324148,#b97e3c,#83959b,#b1bfc5,#636052,#daa46b,#6a808a,#b5ac9b,#eacdab,#875622,#39392f,#ced5d6,#593310,#43555e,#7c7667,#4c4c3f
Ocean's 8,0.08291379355618698,#535156,#a5919a,#f0e5f3,#be0001,#726565,#613e31,#bcacb6,#2e4347,#4a2b22,#966958,#93818a,#d2c4d6,#11406f,#463c3a,#44709a,#837476,#735348,#0b233a,#8e9bba
Overlord,0.05081908008423225,#5b6152,#d5d3b6,#4c3c27,#757765,#f1f7cc,#8e360f,#5d1308,#e69d54,#474e41,#b9ad8d,#2f3b31,#3a0504,#7e573b,#0e4748,#efd68b,#c86222,#a6825f,#8d9581
Passengers,0.13485223330732915,#af8e6d,#e7e9e4,#5a4028,#6a6e67,#828984,#114d5d,#9ea5a1,#fefefe,#782709,#a96528,#456f78,#132f39,#515751,#1b94e1,#755338,#8f7258,#45260f,#c7c5bd,#3d4440,#c7ab90
Pearl Harbor,0.1313802853006914,#656e68,#aacbd1,#c8ede7,#3a392b,#bda67a,#9d7f55,#4d2e0b,#6da4cd,#5e4824,#395b6f,#f1f7f4,#e9a728,#28404a,#95acad,#ebd799,#7a8c8d,#75603b,#4c5149,#4e7796,#9d5716
Red Sparrow,0.05873881174954752,#867257,#484c48,#8daaaf,#537791,#172f38,#46301d,#a79a7f,#e0edde,#6f583e,#342312,#6e7774,#363936,#385b6a,#58432c,#26444d,#596160,#bac9bf,#818e8e
Sherlock Holmes,0.071048847852808,#9c9589,#6d5545,#dad4c3,#43453e,#856c5b,#d7b97c,#c1bcae,#433325,#5c3211,#8f581a,#65665c,#aca99b,#5a4334,#b68643,#757770,#343932,#8d8479,#53554d,#342314
Silence,0.17356748556077256,#7b7870,#d6d6cc,#37484b,#9fadad,#475c62,#51331f,#6c8b91,#323633,#8c9b9e,#68645a,#aaa194,#bbb6a9,#7e5029,#534d43,#c7c7bd,#55747a,#98bec9,#1e5968,#e2e4dd,#8e8b83
Star Trek Beyond,0.1407606903941568,#0b2c3e,#80a3ae,#584c42,#ccc7b7,#442d21,#5b818f,#865e40,#a7bbbf,#157890,#303b3e,#6d231a,#114a61,#d8d8d1,#cfaf84,#ad8560,#838c8b,#3c4e56,#6f726e,#4c636c,#a5a49d
